exp_log2_cond1	exp_log2_cond2	exp_log2_cond3	exp_log2_cond4	exp_log2_cond5	exp_log2_cond6	cv2_log2_cond1	cv2_log2_cond2	cv2_log2_cond3	cv2_log2_cond4	cv2_log2_cond5	cv2_log2_cond6	LibID
-0.531804	-0.482177	-0.595612	-0.932599	-0.863375	-0.843788							112.000000
		-1.033330			-0.927976							113.000000
-0.298658	-0.274029	-0.366004	-0.252294	-0.536236	-0.295707		-6.392554					114.000000
-1.095298	-1.021316	-1.125325	-1.150079	-1.124027	-1.058870	-4.509956				-4.541808		115.000000
-0.145150	0.018490	0.052914	0.010536	-0.068736	-0.103986	-4.712472	-8.421794			-6.366227		116.000000
-0.954930	-0.741940	-0.984470	-1.092880	-1.005672	-0.881620							117.000000
-0.793242	-0.634906	-0.829156	-0.956743	-0.746288	-0.636196							118.000000
-0.842364	-0.723604	-0.838099	-1.165415	-0.925771	-0.934205							119.000000
-1.049969	-0.876282	-1.119334	-1.232676	-1.295811	-1.164174							120.000000
-1.320871	-1.093059	-1.333311	-1.468151	-1.438542	-1.164752							121.000000
-0.192090	-0.260473	-0.395084	-0.318575	-0.407081	-0.359133							122.000000
-1.129953	-1.088001	-1.298852	-1.347800	-1.575158	-1.216755	-5.255433	-5.386776			-4.043023		123.000000
0.685426	0.519053	0.594608	0.666345	0.702557	0.574698							124.000000
-0.582210	-0.541834	-0.504384	-0.482005	-0.574894	-0.475042							125.000000
-0.680261	-0.679616	-0.765582		-0.834345	-0.672184							126.000000
	-0.750423	-0.868808	-0.817134	-0.926276	-0.773766							127.000000
-0.872978	-0.603482		-0.796094	-1.055238								128.000000
-0.906771	-0.834418	-1.094061	-1.043341	-1.079551	-1.043371							129.000000
-0.734923	-0.941890	-1.070753	-1.195010	-1.158802	-0.850128							130.000000
-1.123402												131.000000
-1.766001	-1.571247	-1.763520	-1.840022	-1.727249	-1.508528		-5.039056					132.000000
-0.611825	-0.610016	-0.656183	-0.629721		-0.602649							133.000000
